country	address
AT	14a Haugschlag, 3874, Haugschlag
AT	64 Eschensiedlung, Deutschlandsberg
AT	Hintergasse 69, Mattersburg, Austria
AT	Schremser Straße 42, 3950, Gmünd, Austria
AT	Seeanlage Straße III 6, Neudörfl
AT	12 Margeritenstraße, Edt bei Lambach
AT	34 Auggenthal, Haugsdorf
AT	Burgfried 16 Lassing 8903 Austria
AT	Grießmühlweg 1, Zwettl an der Rodl, Austria
AT	Friedhofstraße 25, Steyr
AT	13 Turnplatzsiedlung Krieglach
AT	Bahngasse 463 Bernhardsthal Austria
AT	174 Brunnen, Strengen
AT	41 Seeuferstraße, 9520, Treffen am Ossiacher See, Austria
AT	35 Meierhof, Gratwein-Straßengel, Austria
AT	6 Panoramaweg, Treffen am Ossiacher See, 9520, Austria
AT	37 Bachstraße, Eberstalzell, 4653, Austria
AT	Mitterbauerstraße 5, Ansfelden
AT	265 Ried i.O. Ried im Oberinntal
AT	Siebensterngasse 14, Großpetersdorf
AT	54a Oberneudorf, Passail, Austria
AT	Grazerstraße 110, Groß Sankt Florian, Austria
AT	8 Weidental, 5112, Lamprechtshausen, Austria
AT	14 Stockerauer Straße, 2100, Korneuburg, Austria
AT	Feldweg 1, St. Peter am Wimberg
AT	Am Steig 45 2454 Trautmannsdorf an der Leitha
AT	St. Margarethen an der Raab 60, St. Margarethen an der Raab, 8321
AT	24 Dillachstraße, Fernitz-Mellach, 8072, Austria
AT	3 Panorama, Sölden, 6450, Austria
AT	194 Flurgasse, 2731, St. Egyden am Steinfeld, Austria
AT	Lindenthal 9, Abtenau, 5441
AT	Öfnerstraße 29, Bad Aussee
AT	Hagendorf 92, Fallbach
AT	183 Eßlinger Hauptstraße, Wien
AT	Thallerner Hauptstraße 15, Krems an der Donau
AT	Kloiberweg 21, Graz, Austria
AT	12 Gruentalerstraße Linz
AT	53 Oberkrumbach Krumbach
AT	Mühlgasse 1, Velm-Götzendorf
AT	15 Steinerstraße, Wals-Siezenheim
AT	Kellergasse 28, Prottes, Austria
AT	37 Rechte Bachgasse, 7400, Oberwart
AT	Martinswandweg 8a, Zirl, 6170
AT	Welgersdorf 14, Großpetersdorf
AT	Haselweberweg 6, 8551, Wies
AT	Schoberweg 9, Graz, 8042, Austria
AT	Schlosserstraße 20 Köflach
AT	20 Benjowskigasse, Wien
AT	337 Ottendorf, Ottendorf an der Rittschein
AT	Wallbachstraße 29 Neumarkt am Wallersee
AT	Amerlingstraße 19, Wien
AT	141 Hammerweg, Paternion, 9710
AT	31 Mühlweg, 6441, Umhausen
AT	Litschauer Straße 30 3861 Eggern
AT	Lanser Straße 16, Innsbruck, Austria
AT	Bärndorf 85, Rottenmann
AT	17 Alte Landstraße Hall in Tirol 6060
AT	Hirnsdorf 239, Feistritztal
AT	53 Austraße, 4591, Molln
AT	Kleinzeller Landstraße 42, St. Veit an der Gölsen
AT	Leopold-Ernst-Gasse 33 Wien 1170
AT	Andreas-Hofer-Straße 855, Seefeld in Tirol, 6100
AT	16 Steigergasse, 3400, Klosterneuburg
AT	222 Schiefling-Kiefernweg, Schiefling am Wörthersee
AT	Goritz bei Radkersburg 76, 8490, Bad Radkersburg
AT	Unterkolbnitz 62 Reißeck 9815
AT	5 Kirchenweg Sitzenberg-Reidling
AT	267 Schlossblick Arnfels
AT	247 Ried i.O., Ried im Oberinntal
AT	47 Spanfeld, Helfenberg
AT	Rainergasse 22 St. Georgen im Attergau 4880
AT	Sittersdorf 26 Sittersdorf Austria
AT	Anton Schwarz-Gasse 38, 2011, Sierndorf
AT	Söchau 34, 8362, Söchau
AT	Unterdorf 106, 6874, Bizau
AT	Untertiefenbach 54, Hartl
AT	301 Ebenfeld, Kirchberg am Wechsel
AT	Volderer Weg 28b, Wattens, 6112
AT	Heckengasse 6, Neudorf im Weinviertel, 2135
AT	9 Wieselberggasse 7210 Mattersburg
AT	24 Schafflerhofstraße, Wien
AT	Bachsiedlung 10, Perwang am Grabensee
AT	399 Feldstraße, Schwarzau am Steinfeld
AT	Kronlach 2, Pötting
AT	Leiten 7, 7373, Piringsdorf
AT	Landesstraße 37, Poggersdorf, 9130
AT	Tullner Straße 22, Traismauer
AT	Kellerrundplatz, Mistelbach
AT	Ufer Straße 37, Mauthausen
AT	Schneeburgstraße 41, Mils
AT	1 Kapellenweg, Neukirchen an der Enknach, Austria
AT	Seitengasse 3, 8724, Spielberg, Austria
AT	27 Unterer Feldweg, 6091, Götzens, Austria
AT	23 Industriestraße Herzogenburg
AT	4 Parisdorf, Ravelsbach, 3720
AT	Obritz 270, Hadres
AT	22 Badgasse, 2651, Reichenau an der Rax, Austria
AT	Planitz 7, 6068, Mils
AT	Obernberg 8 Oberhofen am Irrsee Austria
AT	21 Peter-Rosegger-Straße, Graz
AT	Pischelsdorf 22, St. Georgen bei Obernberg am Inn
AT	24 Blattur, 6840, Götzis
AT	5 Waldrainweg, St. Kanzian am Klopeiner See, Austria
AT	Rodlstraße 9 Ottensheim 4100
AT	Illmitzerstraße 3, Apetlon
AT	12 Kesselmannstraße, Faistenau, 5324
AT	Untere Hauptstraße 33, Neuberg im Burgenland, 7537
AT	Bahnhofstraße 52, Kematen in Tirol, 6175
AT	19 Pirching, Hofstätten an der Raab, 8200
AT	12 Watschig, Hermagor-Pressegger See, 9620, Austria
AT	17 Am Pesenbach Feldkirchen an der Donau 4101 Austria
AT	Etruskerweg 84 9073 Klagenfurt am Wörthersee Austria
AT	59 Grazer Straße, Krieglach, 8670
AT	368 Kreuzberg, Groß Gerungs, 3920
AT	1 Silvrettabahn Ischgl 6561
AT	Straußgasse 6, 7202, Wiesen
AT	32 Laschenskystraße, Wals-Siezenheim, 5071
AT	Unterkrimml 83, 5743, Krimml
AT	5 Feldgasse, Staatz
AT	Kudlichgasse 22 Wien 1100
AT	Unterfeistritz 145, 8183, Floing
AT	3 Feldmüllerstall, 3681, Hofamt Priel, Austria
AT	Stolzalpe-Am Hammer 28, Murau, 8850
AT	Schloßstraße 23, Radstadt
AT	Römerstraße 36, Reith bei Seefeld, 6103
AT	Feldgasse 11, Inzersdorf-Getzersdorf
AT	Florianigasse 7, Bischofstetten
AT	Sellrain 95, Sellrain, Austria
AT	Bundesstraße 41a, Piringsdorf, Austria
AT	Kaufing 114, Rüstorf
AT	Maltaberg 93 Malta 9854 Austria
AT	2 Im Feld, Hohenems
AT	Gobelsdorf 20 Röhrenbach 3592
AT	1 Margarethenweg, Seiersberg-Pirka
AT	15 Winkling-Nord, St. Andrä, 9433
AT	1 Brennerstraße, Innsbruck
AT	Gutenbrunn 116, Gutenbrunn
AT	Pinkagasse 3, Unterwart
AT	Kaiserkrone 10, 3021, Pressbaum, Austria
AT	Oberaustraße 27, Wals-Siezenheim, 5071
AT	Rheinstraße 14, Altach
AT	Sankt Wolfgang 19, Weitra
AT	Eschenweg 4 Perchtoldsdorf
AT	39 Am Nußbaumhof Altmünster 4813
AT	51 Feuringweg, Brixen im Thale, 6364, Austria
AT	Längapiesting 3, Gutenstein
AT	179a Brunnen, 6571, Strengen
AT	2 Bergingenweg Aurach bei Kitzbühel 6371
AT	1 Brucknerstraße, St. Valentin
AT	Neurauth 3, Mils, 6068
AT	46 Ulrichsbichl, Amlach, Austria
AT	Sillian 138b, Sillian, 9920, Austria
AT	32 Im Tal, Leoben, Austria
AT	Bahnstraße 18, Traismauer, Austria
AT	Preliebl 27 Köttmannsdorf Austria
AT	72 Hagendorf, Fallbach
AT	St. Peter 12, Grafenstein, Austria
AT	23 Neudenstein, Völkermarkt, Austria
AT	Perfektastraße 32, Wien
AT	69 Hohenberg, Aigen im Ennstal, 8943, Austria
AT	Eiberg 9 Söll 6306
