address	country
mary-wigman-straße 7 dresden	DE
RASCHAER SIEDLUNG GROSSPOSTWITZ	DE
 Kreuztal Deutschland	DE
Dinglingerstraße 25 Dresden	DE
Gevelsberg	DE
NORDSTRASSE 18 , FREUDENBERG	DE
60389 Frankfurt Am Main Germany	DE
Derfflingerstraße 13 Berlin	DE
anton-laumen-straße 43 waldfeucht	DE
gehren	DE
berlin	DE
MECKENHEIM	DE
BERT-BRECHT-STRASSE WÜRSELEN	DE
12355, BERLIN	DE
kirchplatz schöneck, germany	DE
PREUSSENWEG 6 , OELDE	DE
berlin, deutschland	DE
Kampstraße - Haan	DE
Friedensallee Amt Wachsenburg Germany	DE
Diesbar-Seußlitz	DE
DROSTENSTRASSE SASSENBERG, DEUTSCHLAND	DE
Arnsberg	DE
Zur Kalkbahn 7 Langerwehe	DE
4159, LEIPZIG	DE
Neunkirchen	DE
Meißen, Deutschland	DE
suhl	DE
Rasmusweg Hennef (Sieg), Deutschland	DE
GRENZSTRASSE SELFKANT	DE
IM GRASGARTEN, MUCH	DE
dinslaken, deutschland	DE
STADTRANDSIEDLUNG BAD FRANKENHAUSEN/KYFFHÄUSER	DE
tetendonk 103 grefrath	DE
hasselstraße 60 , kaarst	DE
Dörnchen Herten	DE
Borsigweg Ahlen	DE
Berliner Höhe 196 , Viersen, Deutschland	DE
REMBRANDTSTR. 14 LENGERICH	DE
Lohner Straße 19 Südlohn	DE
Kreuzau	DE
2699, KÖNIGSWARTHA	DE
zum bahnhof, frankenberg	DE
ENZIANWEG, STOLBERG (RHLD.)	DE
Neue Kämpe Borken	DE
lindenallee 49 , hamburg	DE
ostbevern	DE
Geilenkirchener Straße - Herzogenrath	DE
Glockenweg, Gera	DE
, WEGBERG	DE
wurzbach, deutschland	DE
nelkenpfad - borken	DE
OER-ERKENSCHWICK, GERMANY	DE
Schroeterstraße, Jena	DE
am hegbaum nettetal	DE
Leipzig Deutschland	DE
Wartburgstraße, Chemnitz	DE
hamburg germany	DE
bad lausick	DE
AM MOHLENPFAD, NÖRVENICH	DE
Burgstraße, Ahaus	DE
9117 Chemnitz	DE
schorlemerstraße - harsewinkel	DE
Oelde	DE
hermannstraße berlin deutschland	DE
an der schlinge 13 südlohn germany	DE
Mittelstraße 7 , Velbert	DE
Warnitzer Straße - Berlin	DE
krensitzer straße - schönwölkau	DE
Bad Honnef, Germany	DE
Kleine Jüch - Erftstadt	DE
Max-Planck-Straße, Hürth	DE
hamburg	DE
KIELSTÜCK, HAMBURG	DE
14109 berlin	DE
ELMENHORSTER WEG 16 LÜNEN	DE
Lerchenweg Aldenhoven	DE
RUNGSTOCKSTRASSE 71 OLBERNHAU	DE
 Kirchhundem Deutschland	DE
WOLPERNDORF - JÜCKELBERG	DE
frauenbachstraße neuhausen	DE
Schlehdornweg 5 , Windeck	DE
rhinstraße berlin, deutschland	DE
Pfortener Straße Gera	DE
GÜNTHER-HOCHGARTZ-RING 49 BOCHOLT	DE
AM SCHONUNGSBERG 35 12589, BERLIN	DE
sandknapp paderborn	DE
BOXBERG	DE
Zwenkau	DE
Hamburg	DE
hartmannsdorf-reichenau germany	DE
lauchaer straße waltershausen	DE
Gemeindegasse Meckenheim	DE
QUELLENSTRASSE - WARBURG	DE
Grevenbroich	DE
 dingsleben germany	DE
8451, Crimmitschau	DE
pfarrer-ossemann-str. - langerwehe	DE
, Auma-Weidatal	DE
Straße 166 26 Berlin Germany	DE
BERLIN, DEUTSCHLAND	DE
roeinghstraße 75 paderborn	DE
eschbachstraße 29 monschau	DE
, moers	DE
lessingstr. kamp-lintfort	DE
IM STICHT, BRAKEL	DE
winand-kayser-straße 18 dormagen deutschland	DE
ST. EGIDIEN	DE
