address	country
Kohila Vald,Kohila Alev	EE
kuldse kodu tänav, pärnu linn	EE
rae vald,lagedi alevik	EE
Tobiase Tänav  Käina Vald,Käina Alevik Eesti	EE
 keila vald,kloogaranna küla	EE
OHTU TEE  , KEILA LINN, ESTONIA	EE
Türi Tee Türi Vald,Oisu Alevik	EE
tööstuse tänav tamsalu vald,tamsalu linn	EE
Lootuse Tänav  Rae Vald,Rae Küla	EE
ploomipuu puiestee, maardu linn	EE
liiva tänav suure-jaani vald,suure-jaani linn eesti	EE
Ülenurme Vald,Tõrvandi Alevik Estonia	EE
TIBU TÄNAV  NARVA LINN	EE
rahu tänav  kohtla-järve linn,viivikonna linnaosa	EE
Kannikese Tänav, Tartu Linn	EE
PARGI TÄNAV, PUHJA VALD,PUHJA ALEVIK	EE
KLUBI TÄNAV KOHTLA-NÕMME VALD,KOHTLA-NÕMME ALEV, ESTONIA	EE
tartu maantee, otepää vald,otepää linn	EE
SAUEPARGI TÄNAV  , SAUE LINN	EE
 Saue Linn Eesti	EE
KOIDU TÄNAV  , KEHTNA VALD,EIDAPERE ALEVIK, EESTI	EE
pikk tänav - väike-maarja vald,simuna alevik	EE
SAKU VALD,LOKUTI KÜLA	EE
VIKERKAARE TÄNAV  , VILJANDI LINN	EE
Kotka Puiestee Sindi Linn Eesti	EE
tulbi tänav - pärnu linn	EE
metsa tänav, pärnu linn	EE
KALAMEHE TÄNAV 6 , PÄRNU LINN	EE
 Pärnu Linn, Estonia	EE
pargi tänav, keila linn	EE
 PÄRNU LINN EESTI	EE
Tolli Tänav 17 , Narva Linn, Eesti	EE
Võsu Maantee 47 , Haljala Vald,Haljala Alevik, Eesti	EE
tüve tänav haapsalu linn	EE
, tartu linn	EE
 Tartu Linn, Eesti	EE
 tartu linn	EE
kuuseheki tänav saue linn	EE
veere tänav 25 viljandi linn	EE
tallinna tänav 18 viljandi linn	EE
kuressaare linn, eesti	EE
MAARDU LINN	EE
VALGA LINN	EE
, Paide Linn	EE
Liiva Tänav 9 , Tarvastu Vald,Mustla Alevik, Estonia	EE
, Tarvastu Vald,Mustla Alevik	EE
TALLINNA TÄNAV 5 RAKVERE LINN	EE
Rakvere Linn	EE
ORAVASABA TEE MAARDU LINN	EE
 MAARDU LINN, EESTI	EE
kesk tänav 5 saku vald,saku alevik	EE
Kuressaare Linn Estonia	EE
tuisu tee raasiku vald,kulli küla	EE
Sinimetsa Tänav Vaivara Vald,Tõrvajõe Küla	EE
STAADIONI TÄNAV 1 KEHTNA VALD,KAEREPERE ALEVIK ESTONIA	EE
KUIVASTU MAANTEE ORISSAARE VALD,ORISSAARE ALEVIK	EE
 keila linn eesti	EE
haapsalu maantee 41 , keila linn, estonia	EE
Pargi Tänav - Otepää Vald,Otepää Linn	EE
 pärnu linn	EE
PÄRNU LINN, ESTONIA	EE
koeru vald,koeru alevik estonia	EE
koidu tänav, tartu linn	EE
surnuaia tänav 16 , haapsalu linn, eesti	EE
Allika Tänav 3 Toila Vald,Toila Alevik	EE
tartu linn	EE
Nõgiaru Tänav, Nõo Vald,Nõo Alevik	EE
Männi Tee Viimsi Vald,Haabneeme Alevik Eesti	EE
Uuetoa Tee Viimsi Vald,Muuga Küla	EE
kasemäe tänav 24a kunda linn	EE
siguri tänav valga linn estonia	EE
valga linn, estonia	EE
SAARE TÄNAV KEHTNA VALD,LELLE ALEVIK	EE
nurme tee tabivere vald,tabivere alevik	EE
PLOOMIPUU PUIESTEE 106 MAARDU LINN	EE
elva tänav, tartu linn	EE
Kihelkonna Vald,Kihelkonna Alevik, Eesti	EE
RISTIKU TEE - SAUGA VALD,TAMMISTE KÜLA	EE
KÄO TEE 82 , ELVA LINN	EE
Pärna Tänav Orissaare Vald,Orissaare Alevik	EE
puiestee tänav sonda vald,erra alevik, estonia	EE
 Kohtla-Järve Linn,Sompa Linnaosa, Estonia	EE
ruudu tänav - pärnu linn	EE
KURESSAARE LINN	EE
Heki Tänav 9 , Tartu Linn, Eesti	EE
VÄIKE-TÄHE TÄNAV, TARTU LINN	EE
Leola Tänav, Viljandi Linn	EE
 paide linn	EE
 TAHKURANNA VALD,REIU KÜLA EESTI	EE
Jalaka Tänav - Haapsalu Linn	EE
Hanila Vald,Virtsu Alevik, Estonia	EE
JOODI TÄNAV 23 PAIDE LINN	EE
 pärnu linn, eesti	EE
Kastani Tänav - Tartu Linn	EE
Tallinna Tänav - Võhma Linn	EE
Veski Tee Tahkuranna Vald,Reiu Küla	EE
Nõmme Tee Harku Vald,Tiskre Küla Eesti	EE
 viimsi vald,pärnamäe küla estonia	EE
METSHALDJA TÄNAV TARTU LINN EESTI	EE
KOIDUTÄHE TÄNAV - TARTU LINN	EE
Narva Linn Eesti	EE
viljandi linn, estonia	EE
SÄDE TÄNAV 1 , PUKA VALD,PUKA ALEVIK	EE
lutserni tee, maardu linn	EE
tikri tänav, paldiski linn	EE
Kuressaare Linn, Eesti	EE
Viljandi Linn	EE
Kihelkonna Vald,Kihelkonna Alevik	EE
Pärnu Maantee, Halinga Vald,Pärnu-Jaagupi Alev	EE
kivi tänav 6 , paldiski linn, eesti	EE
 JÕELÄHTME VALD,LOO ALEVIK, ESTONIA	EE
Rakvere Linn, Estonia	EE
 Viimsi Vald,Viimsi Alevik	EE
Viira Tänav 9 , Sindi Linn, Eesti	EE
