country	address
LU	Rue Léon Lamort 8, Esch-sur-Alzette, Luxembourg
LU	14B Munnereferstrooss, Frisange
LU	Rue Belair 10, Dudelange
LU	3 Route de Longwy, Pétange, 4750
LU	4 Grenzwee Wallendorf-Pont
LU	41 Rue Fontaine d'Olière, Rodange
LU	Am Brill 3, Bissen, Luxembourg
LU	Rue de l'Ecole 21, Howald, Luxembourg
LU	Rue Paul Goedert 4 3330 Crauthem
LU	Rue de Mamer 97, 8081, Bertrange
LU	24 Rue Prince Henri, 7230, Helmsange, Luxembourg
LU	Moellerdallerstrooss 14, Christnach
LU	Plateau Altmünster 2, Luxembourg
LU	Rue d'Olingen 14, Roodt-sur-Syre
LU	67 Duerfstrooss, 9689, Tarchamps
LU	Routstrach 3, Oberanven, Luxembourg
LU	22 Rue des Tilleuls, Strassen
LU	Rue Charlotte 4, Pétange
LU	34 Rue de Montpellier, Esch-sur-Alzette
LU	24 Rue des Vergers, Schieren
LU	29 Porte des Ardennes, Erpeldange-sur-Sûre, 9145
LU	Route d'Esch 180, Luxembourg
LU	Renkebierg 26 Medernach 7661 Luxembourg
LU	26 Duerfstrooss, Nothum, Luxembourg
LU	53 Cité Paerchen, Schifflange, 3870, Luxembourg
LU	137 Avenue de la Liberté, 4602, Niederkorn, Luxembourg
LU	21 Rue du Château d'Eau 8379 Kleinbettingen Luxembourg
LU	20 Rue de l'Église, Machtum, 6841
LU	2 Rue St. Hubert, 9657, Harlange
LU	6 An den Azéngen, Uebersyren, 5380
LU	3A Neie Wee 6830 Berbourg
LU	16A Rue de la Gare, Eischen
LU	Millewee 3A, Manternach
LU	33 Rue de l'Hippodrome, Luxembourg, 1730
LU	11 Domaine Op Hals, 3376, Leudelange, Luxembourg
LU	27 Gaardestrooss Ell 8531
LU	Rue de Dudelange 63, Kayl
LU	Rue des Aubépines 48, Luxembourg
LU	4 Am Bockelsfeld, Pontpierre
LU	Rue Mathias Saur 1, Strassen, 8042
LU	Rue du Village 7, Junglinster
LU	Rue Lohr 38, Mersch
LU	Rue Victor Beck 11 Howald
LU	7 An der Foxenhiel, 3473, Dudelange, Luxembourg
LU	An der Buch 3, Bilsdorf, Luxembourg
LU	Rue Neuve 4, 9188, Vichten
LU	Rue d'Esch 87, Sanem
LU	Rue d'Ehlerange 25, Mondercange, 3918
LU	15 Rue de Halanzy, Luxembourg, 1712
LU	Rue de la Gare 21, Bivange, 3322, Luxembourg
LU	Beetebuergerstrooss 4, Hellange, 3333
LU	Rue de la Chapelle 64, Bissen
LU	Rue Principale 92, Folschette
LU	66 Rue Norbert Metz, Dudelange
LU	60 Rue de la Corniche Itzig 5956
LU	Cité Schmiedenacht 113, Sanem
LU	8 Rue Jean-Pierre Thiry Hautcharage Luxembourg
LU	Rue du Pont 18, Bettendorf
LU	22 Cité Fritz Rasqué, Roodt (Ell)
LU	Avenue de la Libération 3, Schifflange, Luxembourg
LU	11 Am Enneschtduerf, Kaundorf
LU	Rue Louis XIV 25, Luxembourg
LU	2 Op Bolicht, Erpeldange, 9648
LU	Duerfstrooss 27, Eschweiler, 9651
LU	Haaptstrooss 26, Hoscheid-Dickt
LU	Rue de Sélange 27, Clemency
LU	25 Halsbach, Medernach, 7662
LU	14 Rue Jean Jacoby Luxembourg 1832 Luxembourg
LU	159E Route de Burange, Dudelange
LU	Rue de l'Avenir 48, Luxembourg
LU	11 Wilwerdangerweeg, Basbellain
LU	4 Rue de l'Industrie, Bertrange, 8069, Luxembourg
LU	37 Rue du Hallerbach, Haller
LU	Um Helpersbierg 10, Useldange
LU	21 Rue de Keispelt, Meispelt, 8291
LU	39 Rue Clairefontaine, Diekirch
LU	Maison 18, Hoesdorf, 9456
LU	53 Rue de la Forêt Bergem 3317
LU	Rue des Etats-Unis 11 Luxembourg 1477 Luxembourg
LU	170 Rue de la Gare, Belvaux
LU	Rue de la Libération 5, Hautcharage
LU	Rue Principale 12, Osweiler
LU	62 Dernier Sol, Luxembourg
LU	52 Rue de l'Indépendance, Bettembourg, Luxembourg
LU	Rue des Marguerites 9, Strassen, Luxembourg
LU	14 Rue Franz Erpelding Niederkorn
LU	41 Route de Diekirch, Bettendorf
LU	Avenue Lamort-Velter 13, Remich, 5574
LU	2D Virstadt, 9834, Holzthum
LU	Rue de Noertzange 49, Schifflange, Luxembourg
