address	country
R GROTA 3 9960-360, LAJEDO, PORTUGAL	PT
R Autonomia Lajes Das Flores	PT
R PADRE FRANCISCO DE FREITAS TOMAS 11 LAJES DAS FLORES	PT
9960-431 LAJES DAS FLORES, PORTUGAL	PT
R Fr Diogo Das Chagas, Santa Cruz Das Flores	PT
av diogo teive - santa cruz das flores	PT
R Senador André De Freitas Santa Cruz Das Flores	PT
R SANTO ESPIRITO - RUA DO SANTO ESPIRITO SANTO	PT
corvo	PT
R ANUNCIAÇÃO, SANTA CRUZ DAS FLORES	PT
r fonte de cima  corvo portugal	PT
r senador andre de freitas 22 faja grande	PT
Estr Regional, Ponta Da Faja Grande	PT
9960-441 Lajes Das Flores, Portugal	PT
9970-062 FAROL DO ALBERNAS	PT
ponta delgada	PT
R LEVADA, PONTA DELGADA	PT
ponta delgada	PT
R Areeiro Fazenda De Santa Cruz	PT
R MONSENHOR AUGUSTO RIBEIRO  FAZENDA DE SANTA CRUZ	PT
TV GRAÇA 40 9970-304, SANTA CRUZ DAS FLORES	PT
r senador andre de freitas, santa cruz das flores	PT
R MATRIZ  9980-020, CORVO	PT
R Teófilo Braga 15 A-17 Ponta Delgada	PT
9500-092 ponta delgada portugal	PT
candelaria portugal	PT
can praia cinco ribeiras, portugal	PT
S BARTOLOMEU	PT
Angra Do Heroismo	PT
r gonçalo bezerra 38 ribeira grande	PT
R Ilha Terceira 153 9700-111, Angra Do Heroismo	PT
can 2 moios 5 raminho portugal	PT
r padre ernesto jacinto raposo 38 9650-428, povoação	PT
R MONSENHOR JACINTO DA COSTA ALMEIDA, RIBEIRINHA	PT
cha da lomba do carvalho, remedios	PT
ribeira grande, portugal	PT
R Nicolau Sousa Lima 82 9500-786, Ponta Delgada	PT
ram estrada de s pedro 13 s pedro portugal	PT
Tv Rua Chã Santa Bárbara	PT
Piedade	PT
r francisco inácio medeiros sete cidades	PT
9800-206, ponta dos rosais	PT
Ram Porto Terra Do Pão, Portugal	PT
pontas negras	PT
9760-400 AGUALVA PORTUGAL	PT
AGUALVA PORTUGAL	PT
CAM DAS RUAS, SETE CIDADES	PT
Estr De S Pedro  Maia	PT
R RIBEIRA DO CRANCHA 12 9680-439, PONTA GARÇA	PT
AV NSA SRA DOS REMÉDIOS, LOMBA DO LOUÇÃO	PT
R DR TEÓFILO BRAGA - PONTA DELGADA	PT
Sta Rosa Santa Rosa	PT
PRESA DA MACHADA - BEIRA	PT
R PROF BALTAZAR LUIS SARMENTO 33 9940-153, SANTO AMARO, PORTUGAL	PT
R Areal  Pontas Negras	PT
SIT PONTA DOS ROSAIS PONTA DOS ROSAIS PORTUGAL	PT
ESTR REGIONAL - CEDROS	PT
r morgado, bandeiras	PT
estr regional santa luzia	PT
S Roque Do Pico Portugal	PT
CAM FACHO HORTA PORTUGAL	PT
s roque do pico portugal	PT
FAJA DAS ALMAS	PT
R BAN DO ARNASTO 5 9930-473, PONTA RASA	PT
r canada nova 1 9940-180, santo amaro	PT
cam cima 36 rosais	PT
Er 1-2 Ribeira Do Meio 30 9930-173, Lajes Do Pico, Portugal	PT
ESTR REGIONAL 22 RIBEIRINHA	PT
r marcelino de lima horta	PT
R MARECHAL GOMES DA COSTA 32 9900-091, HORTA, PORTUGAL	PT
9900-401 FLAMENGOS PORTUGAL	PT
Can Maciel - Terra Do Pão	PT
R S PEDRO 56 9900-361, FETEIRA	PT
r s francisco, lajes do pico	PT
R D JOÃO PAULINO DE AZEVEDO E CASTRO 11 9930-142, LAJES DO PICO	PT
R Estrada Regional Monte De Cima Portugal	PT
r padre fernando lemos, vila do topo	PT
r ribeira pequena 9 castelo branco	PT
CABO BRANCO	PT
Cam Ferreiro 12 9950-235, Criação Velha, Portugal	PT
r praça flamengos	PT
flamengos	PT
ESTR REGIONAL, SANTO ANTONIO	PT
R BAIXA  9930-333, RIBEIRINHA, PORTUGAL	PT
CAN CABEÇO PIEDADE	PT
Flamengos	PT
r cha da cruz ribeirinha	PT
RIBEIRA DE BELO PORTUGAL	PT
R Poço Diogo Vieira, Prainha De Baixo	PT
R POÇO DIOGO VIEIRA PRAINHA DE BAIXO	PT
Calheta De Nesquim	PT
S Roque Do Pico Portugal	PT
Can Faja Ribeirinha	PT
cimo da granja feteira, portugal	PT
Criação Velha	PT
CAN SOUSA CEDROS	PT
9800-104 FAJA DO OUVIDOR	PT
9940-109 Lajido Da Costa Portugal	PT
r praça flamengos	PT
R BARBA FEIRA - RIBEIRINHA	PT
horta	PT
r s joão - ribeira grande	PT
R VALVERDE, CEDROS	PT
PC CEDROS  9900-341, CEDROS, PORTUGAL	PT
PEDRO MIGUEL, PORTUGAL	PT
R 9 De Julho, Pedro Miguel	PT
horta	PT
R Travessa Do Morro, Canto Da Areia	PT
r farrobim do sul, feteira	PT
Estr Regional S João	PT
ribeira seca, portugal	PT
R S JOÃO RIBEIRA GRANDE	PT
ER N 1-2 S CAETANO	PT
Estr Regional 4 9930-305, Pontas Negras, Portugal	PT
R Dr João Teixeira Velas, Portugal	PT
CAM CALHAU - MONTE	PT
9950-022, BANDEIRAS	PT
R Marginal Santa Luzia	PT
Praia, Portugal	PT
R MANUEL ANDRÉ - COMPANHIA DE BAIXO	PT
lajes do pico, portugal	PT
9940-012 BAIA DE CANAS, PORTUGAL	PT
er 1 1 cedros cedros	PT
Er Sta Barbara, Horta	PT
Almagreira De Baixo Almagreira	PT
Cc Conceição Horta Portugal	PT
R TRAVESSA  9900-401, FLAMENGOS	PT
R Caminho Novo - S Roque Do Pico	PT
LAD CASTANHEIROS - PRAINHA DE BAIXO	PT
R BAIXA  9930-333, RIBEIRINHA, PORTUGAL	PT
R COMEND SEQUEIRA - S MATEUS	PT
R Dr Manuel Francisco Neves Junior, Cedros	PT
bandeiras	PT
R Adegas, Faja	PT
R Cima De Santana - Santana	PT
r carlos dabney 36 9950-327, madalena, portugal	PT
Urzelina Portugal	PT
STA LUZIA	PT
9900-302 capelo, portugal	PT
9940-102 Santa Luzia, Portugal	PT
r canadinhas norte grande	PT
Velas Portugal	PT
Sete Cidades	PT
R Ladeira 25 Santa Cruz	PT
r porto s caetano	PT
R ALTO 12 CANDELARIA PORTUGAL	PT
r desterro, santo amaro	PT
s mateus	PT
9950-026 BANDEIRAS	PT
Cam Calhau Piedade, Portugal	PT
Estr Regional  Ribeirinha Portugal	PT
ESTR 5 DE OUTUBRO, HORTA	PT
PRAINHA DE BAIXO PORTUGAL	PT
Santo Amaro	PT
R CANTINHO 19 FLAMENGOS	PT
9800-206 ponta dos rosais, portugal	PT
cedros	PT
piedade	PT
Pedro Miguel	PT
R S Pedro Feteira	PT
Urzelina	PT
r miragaia 10 9900-341, cedros, portugal	PT
estr regional - norte grande	PT
CAN CRUZ, CRUZ	PT
9950-105 CAMPO RASO PORTUGAL	PT
R BISCOITOS  9950-333, MADALENA, PORTUGAL	PT
r barrela s roque do pico	PT
r rosanto alto 278 9900-323, castelo branco	PT
R Ribeira Da Lombega Castelo Branco	PT
9875-115 PONTA DO TOPO	PT
r dr manuel arriaga, areia larga	PT
Can Costa Criação Velha Portugal	PT
