address	country
CESTA IV. PREKOMORSKE, AJDOVŠČINA	SI
lavričeva cesta, ajdovščina	SI
ajdovščina	SI
AJDOVŠČINA	SI
Kidričeva Ulica 44 5270, Ajdovščina	SI
5270 AJDOVŠČINA	SI
ulica vena pilona ajdovščina	SI
Batuje - Batuje	SI
brje, slovenia	SI
budanje	SI
Budanje Budanje	SI
Budanje, Slovenija	SI
budanje, budanje	SI
BUDANJE	SI
COL 10 5273, COL, SLOVENIJA	SI
col	SI
ČRNIČE	SI
5270 DOLENJE, SLOVENIA	SI
kamnje - kamnje	SI
lokavec	SI
lokavec 138 5270, lokavec, slovenija	SI
LOKAVEC	SI
5263, Male Žablje	SI
Otlica Otlica	SI
OTLICA, OTLICA	SI
Otlica Otlica	SI
PLAČE, PLAČE	SI
5270 planina slovenia	SI
SELO SLOVENIA	SI
vodice 10a vodice	SI
VRTOVČE 19A 5295, VRTOVČE	SI
Vrtovče, Slovenija	SI
Žapuže, Žapuže	SI
Malovše 45 Malovše Slovenia	SI
9231 BELTINCI, SLOVENIJA	SI
GREGORČIČEVA ULICA BELTINCI	SI
TRAVNIŠKA ULICA BELTINCI SLOVENIA	SI
BRATONCI 82A BRATONCI	SI
Dokležovje	SI
TRATE DOKLEŽOVJE	SI
9231 gančani	SI
GANČANI GANČANI	SI
IŽAKOVCI - IŽAKOVCI	SI
LIPA	SI
Melinci, Melinci	SI
FINŽGARJEVA CESTA 13 BLED SLOVENIJA	SI
BLED	SI
Bled	SI
Mlinska Cesta, Bled	SI
bled, slovenija	SI
BLED	SI
4260 BLED, SLOVENIJA	SI
BOHINJSKA BELA, BOHINJSKA BELA	SI
4263 bohinjska bela	SI
piškovca zasip slovenija	SI
JELOVŠKA CESTA, BOHINJSKA BISTRICA	SI
majhnova ulica bohinjska bistrica	SI
MENCINGERJEVA ULICA BOHINJSKA BISTRICA	SI
Triglavska Cesta - Bohinjska Bistrica	SI
ZOISOVA ULICA 17 4264, BOHINJSKA BISTRICA	SI
BOHINJSKA ČEŠNJICA 65 4267, BOHINJSKA ČEŠNJICA	SI
Gorjuše	SI
4264, koprivnik v bohinju	SI
koprivnik v bohinju	SI
4264, KOPRIVNIK V BOHINJU	SI
koprivnik v bohinju	SI
LEPENCE - LEPENCE	SI
Nemški Rovt 18A 4264, Nemški Rovt	SI
POLJE, POLJE	SI
Ribčev Laz 36A Ribčev Laz Slovenija	SI
Ribčev Laz - Ribčev Laz	SI
savica 9 savica	SI
Srednja Vas V Bohinju 65 4267, Srednja Vas V Bohinju	SI
srednja vas v bohinju	SI
STARA FUŽINA STARA FUŽINA	SI
STARA FUŽINA STARA FUŽINA	SI
STARA FUŽINA, SLOVENIA	SI
4265 Stara Fužina Slovenija	SI
stara fužina, stara fužina	SI
Cerkova Ulica - Borovnica	SI
1353 BOROVNICA SLOVENIA	SI
1353 borovnica slovenia	SI
Miklavičeva Cesta - Borovnica	SI
1353 Borovnica Slovenia	SI
RIMSKA CESTA, BOROVNICA	SI
Brezovica Pri Borovnici, Brezovica Pri Borovnici	SI
BREZOVICA PRI BOROVNICI 48 1353, BREZOVICA PRI BOROVNICI	SI
DOL PRI BOROVNICI	SI
Pako	SI
Bovec	SI
mala vas, bovec	SI
Mala Vas Bovec	SI
5230 bovec	SI
Čezsoča Slovenija	SI
Čezsoča, Čezsoča	SI
KAL-KORITNICA - KAL-KORITNICA	SI
Plužna Plužna	SI
Strmec Na Predelu	SI
5231 STRMEC NA PREDELU, SLOVENIA	SI
Trenta	SI
Trenta	SI
Biljana, Biljana	SI
Brdice Pri Kožbani Brdice Pri Kožbani, Slovenija	SI
Gonjače, Gonjače	SI
gornje cerovo gornje cerovo	SI
gornje cerovo gornje cerovo	SI
GORNJE CEROVO - GORNJE CEROVO	SI
imenje imenje	SI
Kozana 19 Kozana	SI
kozana kozana slovenija	SI
KOZANA KOZANA	SI
Kožbana 6 5212, Kožbana, Slovenia	SI
PODSABOTIN 49 5211, PODSABOTIN, SLOVENIA	SI
5211 Snežatno Slovenija	SI
snežeče snežeče, slovenia	SI
vipolže 3 vipolže slovenia	SI
Vipolže	SI
zali breg, zali breg	SI
Brezovica Pri Ljubljani	SI
brezovica pri ljubljani, slovenia	SI
1351 BREZOVICA PRI LJUBLJANI SLOVENIA	SI
1351 brezovica pri ljubljani slovenija	SI
Brezovica Pri Ljubljani	SI
V RADNO BREZOVICA PRI LJUBLJANI	SI
jezero 1j 1352, jezero, slovenia	SI
JEZERO, JEZERO	SI
1352 Kamnik Pod Krimom, Slovenija	SI
kamnik pod krimom, kamnik pod krimom	SI
NOTRANJE GORICE	SI
1357 notranje gorice	SI
Plešivica, Plešivica	SI
PODPEČ, PODPEČ	SI
Prevalje Pod Krimom Slovenija	SI
RAKITNA, RAKITNA	SI
1352 RAKITNA, SLOVENIJA	SI
1352, rakitna	SI
1352 Rakitna Slovenija	SI
na lazih, vnanje gorice	SI
VNANJE GORICE	SI
vnanje gorice	SI
1351 Vnanje Gorice, Slovenia	SI
pod goricami vnanje gorice	SI
pot k čuvajnici 11 vnanje gorice	SI
1351, Vnanje Gorice	SI
ŽABNICA ŽABNICA	SI
žabnica	SI
Arnovo Selo 2 8253, Arnovo Selo	SI
BIZELJSKA CESTA 23 BIZELJSKO	SI
bizeljska cesta, bizeljsko	SI
BIZELJSKA CESTA, BIZELJSKO	SI
8259 bizeljsko	SI
janeževa gorca - bizeljsko	SI
8250 BREŽICE, SLOVENIA	SI
Črnc, Brežice	SI
Finžgarjeva Ulica - Brežice	SI
KREGARJEVA ULICA - BREŽICE	SI
trnje 5b brežice	SI
bukošek 57 8250, bukošek, slovenija	SI
8263 bušeča vas	SI
8263, CERKLJE OB KRKI	SI
CUNDROVEC CUNDROVEC, SLOVENIA	SI
8250 čatež ob savi slovenija	SI
TOPLIŠKA CESTA 42E 8250, ČATEŽ OB SAVI, SLOVENIA	SI
DEDNJA VAS 22B 8255, DEDNJA VAS	SI
OB NJIVAH 3 DOBOVA	SI
ULICA JOŽETA ŠAVRIČA DOBOVA	SI
Ulica Maistrovih Borcev Dobova	SI
ULICA MAISTROVIH BORCEV 7 DOBOVA	SI
Drenovec Pri Bukovju, Drenovec Pri Bukovju	SI
dvorce dvorce	SI
8257, GABRJE PRI DOBOVI	SI
globoko 11 8254, globoko	SI
gornji lenart, slovenia	SI
jesenice	SI
KRŠKA VAS - KRŠKA VAS	SI
KRŠKA VAS, KRŠKA VAS	SI
8262 Krška Vas Slovenija	SI
8262, mrzlava vas	SI
OBREŽJE OBREŽJE, SLOVENIA	SI
PEČICE PEČICE, SLOVENIJA	SI
Piršenbreg, Piršenbreg	SI
Piršenbreg 49B Piršenbreg	SI
8257 Rigonce, Slovenia	SI
SELA PRI DOBOVI - SELA PRI DOBOVI	SI
VELIKI OBREŽ VELIKI OBREŽ	SI
veliki obrež, veliki obrež	SI
VRHJE VRHJE, SLOVENIA	SI
zgornja pohanca	SI
8253 zgornji obrež, slovenia	SI
župeča vas 13a 8263, župeča vas	SI
ŽUPEČA VAS ŽUPEČA VAS	SI
gederovci gederovci slovenia	SI
MURSKI ČRNCI, SLOVENIA	SI
murski črnci 61 murski črnci	SI
PETANJCI PETANJCI, SLOVENIJA	SI
PETANJCI	SI
Rankovci 30 9251, Rankovci	SI
TIŠINA TIŠINA SLOVENIA	SI
tišina, slovenia	SI
mejna ulica 17 9251, tropovci	SI
VANČA VAS - VANČA VAS	SI
Brezova Slovenia	SI
Bukovžlak, Bukovžlak	SI
celje	SI
cankarjeva ulica - celje	SI
Celje, Slovenija	SI
cesta v lokrovec, celje	SI
GRUNOVA ULICA CELJE	SI
Kačeva Ulica - Celje	SI
LJUBLJANSKA CESTA 98 CELJE	SI
mariborska cesta, celje	SI
CELJE	SI
popovičeva ulica, celje	SI
Popovičeva Ulica - Celje	SI
prijateljeva ulica - celje	SI
Skaletova Ulica 17 3000, Celje, Slovenija	SI
Šaranovičeva Ulica Celje Slovenia	SI
CELJE	SI
Tavčarjeva Ulica 10 Celje Slovenija	SI
Celje	SI
TRUBARJEVA ULICA, CELJE	SI
Ulica Bratov Mravljakov Celje	SI
Spominska Ulica Celje	SI
ulica heroja rojška, celje	SI
3000 Celje, Slovenija	SI
3000 Celje, Slovenia	SI
stegenškova ulica celje, slovenia	SI
3000 CELJE, SLOVENIA	SI
erjavčeva ulica - celje	SI
Prvomajska Ulica Celje	SI
ložnica pri celju 14 3000, celje	SI
Zgornja Hudinja 43 3000, Celje	SI
Cvetlična Ulica, Celje	SI
ULICA ALME KARLINOVE, CELJE	SI
pučnikova ulica celje, slovenija	SI
3201 GORICA PRI ŠMARTNEM	SI
gorica pri šmartnem 27 gorica pri šmartnem	SI
3202 LESKOVEC, SLOVENIJA	SI
Opekarska Ulica Ljubečna	SI
Tiranova Ulica - Ljubečna	SI
Lopata - Lopata	SI
pečovnik 57 pečovnik	SI
PEČOVNIK, SLOVENIJA	SI
Prekorje 43A 3211, Prekorje	SI
Slance Slance	SI
SLATINA V ROŽNI DOLINI	SI
ŠKOFJA VAS, ŠKOFJA VAS	SI
Šmarjeta Pri Celju, Šmarjeta Pri Celju	SI
KMEČKA POT TRNOVLJE PRI CELJU, SLOVENIJA	SI
Obrtna Cesta 61 3000, Trnovlje Pri Celju	SI
Vrhe 53 3221, Vrhe	SI
zadobrova 2b zadobrova slovenia	SI
Zadobrova 55 Zadobrova Slovenia	SI
dobrova, dobrova	SI
šentjungert šentjungert slovenija	SI
Šentjungert Šentjungert	SI
Adergas 9 4207, Adergas	SI
Ambrož Pod Krvavcem Ambrož Pod Krvavcem	SI
Cerklje Na Gorenjskem	SI
Dvorjanska Ulica, Cerklje Na Gorenjskem	SI
GRAD GRAD SLOVENIA	SI
LAHOVČE, LAHOVČE	SI
Spodnji Brnik	SI
Spodnji Brnik	SI
stiška vas, slovenija	SI
štefanja gora 39 štefanja gora	SI
Zalog Pri Cerkljah 100 4207, Zalog Pri Cerkljah	SI
ZGORNJI BRNIK 65 ZGORNJI BRNIK	SI
ZGORNJI BRNIK ZGORNJI BRNIK, SLOVENIJA	SI
4210 zgornji brnik slovenia	SI
Zgornji Brnik 134 Zgornji Brnik	SI
4207, ZGORNJI BRNIK	SI
Zgornji Brnik, Zgornji Brnik	SI
BEGUNJE PRI CERKNICI SLOVENIJA	SI
BEGUNJE PRI CERKNICI SLOVENIJA	SI
begunje pri cerknici, begunje pri cerknici	SI
begunje pri cerknici begunje pri cerknici	SI
bloška polica bloška polica	SI
CESTA 4. MAJA - CERKNICA	SI
LOŠKO CERKNICA SLOVENIA	SI
kraška ulica cerknica	SI
dolenja vas dolenja vas slovenija	SI
Dolenja Vas 115 1380, Dolenja Vas	SI
DOLENJE JEZERO 28 1380, DOLENJE JEZERO	SI
gorenje jezero, gorenje jezero	SI
GRAHOVO GRAHOVO SLOVENIJA	SI
grahovo	SI
grahovo, grahovo	SI
ivanje selo ivanje selo slovenia	SI
Lipsenj	SI
Dovce - Rakek	SI
pot na kilovec 4 rakek slovenija	SI
trg padlih borcev 5 rakek	SI
ULICA RAKOVŠKE ČETE - RAKEK	SI
selšček - selšček	SI
slivice slivice, slovenia	SI
UNEC 46 UNEC SLOVENIA	SI
ŽEROVNICA	SI
GORIČICE GORIČICE, SLOVENIA	SI
cerkno	SI
POT NA BRCE, CERKNO	SI
Pot Na Zavrte Cerkno	SI
GORJE 10 GORJE	SI
LAZEC, LAZEC	SI
lazec 15 lazec	SI
planina pri cerknem, slovenija	SI
ravne pri cerknem, ravne pri cerknem	SI
črenšovci	SI
dolnja bistrica 46 9232, dolnja bistrica	SI
Dolnja Bistrica 143A Dolnja Bistrica	SI
gornja bistrica gornja bistrica	SI
Srednja Bistrica Srednja Bistrica, Slovenija	SI
SREDNJA BISTRICA	SI
Srednja Bistrica Srednja Bistrica Slovenija	SI
TRNJE	SI
9232, trnje	SI
9232 Žižki Slovenija	SI
pristava črna na koroškem	SI
