address	country
veľké lovce veľké lovce, slovakia	SK
záhradná 16 chorvátsky grob slovensko	SK
vráble slovakia	SK
02755 CHLEBNICE	SK
ULICA J. MURGAŠA, PRIEVIDZA	SK
NIŽE MESTA DOBŠINÁ SLOVAKIA	SK
pažiťská, topoľčianky	SK
TEŠEDÍKOVO TEŠEDÍKOVO	SK
KLÁŠTORSKÁ PIEŠŤANY	SK
ÁBELOVÁ 98 ÁBELOVÁ SLOVAKIA	SK
94002 nové zámky	SK
bratislava-dúbravka	SK
vrbová 8 smižany slovensko	SK
Ivachnová	SK
REVÚCA SLOVENSKO	SK
červenej armády klenovec	SK
Kamenná 35 Banka Slovakia	SK
90701 Polianka Slovakia	SK
chminianska nová ves 309 08233, chminianska nová ves	SK
08001 PREŠOV	SK
Jergov 16 97652, Čierny Balog, Slovensko	SK
chlebnice	SK
TERANY 221 96268, TERANY	SK
94504, komárno	SK
buzica, buzica	SK
BRATISLAVA-ZÁHORSKÁ BYSTRICA	SK
mierová 4 93701, želiezovce	SK
ŠTÚROVA MODRA	SK
Bystrička, Bystrička	SK
ČIERNY BALOG	SK
krížna prešov	SK
Kostolná 47 92241, Drahovce, Slovensko	SK
tekovská tekovské lužany slovensko	SK
staničná 1 liptovský mikuláš	SK
muškátová pezinok	SK
04918 lubeník	SK
Rastislavova Košice-Juh Slovensko	SK
LEMEŠANY, LEMEŠANY	SK
ROBOTNÍCKA TURČIANSKE TEPLICE	SK
JÁNA GALBAVÉHO, NITRA	SK
Oravská 7 Senec Slovensko	SK
Šamorín, Slovakia	SK
nemcovce 11 nemcovce	SK
93523 RYBNÍK SLOVAKIA	SK
podhorany podhorany, slovensko	SK
95501, topoľčany	SK
Lakšárska Nová Ves 146 Lakšárska Nová Ves	SK
NESLUŠA 845 02341, NESLUŠA	SK
97401 Banská Bystrica	SK
ďurďošík, ďurďošík	SK
Mierová Skalica, Slovensko	SK
PROFESORA SÁRU BANSKÁ BYSTRICA, SLOVAKIA	SK
Kremnica Slovakia	SK
HRUBOŇOVO HRUBOŇOVO	SK
ULICA PETRA PÁZMAŇA TRNAVA	SK
Pri Tehelni 1 93401, Levice, Slovakia	SK
POD HRADISKOM ŽILINA	SK
Prešov	SK
97901 Rimavská Sobota Slovakia	SK
Kmeťka Martin, Slovensko	SK
MATYSOVÁ	SK
93028, Okoč	SK
kalnická 48 lok	SK
POD PÁROVCAMI, PIEŠŤANY	SK
93038, Nový Život	SK
Letanovce	SK
HEČKOVA, ZLATÉ MORAVCE	SK
91902 dolné orešany, slovensko	SK
diviaky nad nitricou	SK
BYTČA	SK
Svinica Svinica	SK
ĽUDOVÍTA ŠTÚRA 21 DOLNÉ VESTENICE	SK
ORAVSKÝ PODZÁMOK ORAVSKÝ PODZÁMOK	SK
Hlavná Ulica 0 Kolíňany Slovakia	SK
jána smreka 5 bratislava-devínska nová ves	SK
NOLČOVO 113 NOLČOVO	SK
Antona Mikitu 22 Terňa	SK
VANSOVEJ 0 HNÚŠŤA	SK
04001 KOŠICE-STARÉ MESTO	SK
E. M. ŠOLTÉSOVEJ 12 95301, ZLATÉ MORAVCE	SK
08221, Veľký Šariš	SK
tôňska cesta 37 93010, dolný štál	SK
Na Záhrade - Trenčín	SK
prievidza	SK
OSÁDKA 61 OSÁDKA SLOVAKIA	SK
Puškinova Tvrdošovce, Slovensko	SK
kutuzovova 31 08005, prešov, slovensko	SK
AGÁTOVÁ, SELICE	SK
hviezdoslavova 10 piešťany slovensko	SK
, NITRA	SK
M.R.Štefanika 86 Sečovce	SK
02601, DOLNÝ KUBÍN	SK
9.Mája, Palárikovo	SK
koháryho ul. levice	SK
LOVCE 15 95192, LOVCE	SK
97225, DIVIAKY NAD NITRICOU	SK
RÁKOŠ RÁKOŠ	SK
JUŽNÁ TRIEDA KOŠICE-JUH	SK
Moldava Nad Bodvou	SK
MLADOBOLESLAVSKÁ, PEZINOK	SK
trnava	SK
horné saliby horné saliby	SK
Trstice Trstice	SK
Radošovce, Radošovce	SK
MÚTNE 75 02963, MÚTNE	SK
tajovského, lipany	SK
borský svätý jur, borský svätý jur	SK
krušetnica	SK
HUBENÉHO BRATISLAVA-RAČA SLOVENSKO	SK
pukanec pukanec	SK
DOLNÉ OREŠANY, DOLNÉ OREŠANY	SK
VODNÁ MOLDAVA NAD BODVOU	SK
Ondavské Matiašovce	SK
PEDER, PEDER	SK
SENEC	SK
90847 radimov	SK
92582 TEŠEDÍKOVO, SLOVAKIA	SK
PREŠOV	SK
DEMJATA 1 DEMJATA	SK
Trakovice, Trakovice	SK
POĽNOHOSPODÁRSKA 21 BRATISLAVA-VRAKUŇA	SK
08642 Hertník Slovensko	SK
Veľký Meder	SK
motyčky	SK
brezolupy	SK
Strečnianska Nové Zámky, Slovakia	SK
komenského 23 nové zámky	SK
Kamenica 1509 Kamenica	SK
NAD PLÁŽOU, BANSKÁ BYSTRICA	SK
Schubertova 20 Želiezovce	SK
A. HLINKU, ČADCA	SK
Hlavná Veľké Ozorovce	SK
94911 NITRA	SK
Juskova Voľa Juskova Voľa	SK
ZÁMUTOV, SLOVAKIA	SK
Okrajová Prešov	SK
Petra Jilemnického Čierny Balog	SK
bratislava-nové mesto, slovensko	SK
NA ZÁHUMNÍ, FINTICE	SK
ulica hospodárska, trnava	SK
Brusno Slovakia	SK
obchodná, veľký biel	SK
DONOVALY, DONOVALY	SK
RIMAVSKÉ JANOVCE 20 98001, RIMAVSKÉ JANOVCE	SK
plešivec	SK
suchá hora slovensko	SK
TURČIANSKE TEPLICE, SLOVENSKO	SK
Torysky, Slovakia	SK
ĽUBEĽA ĽUBEĽA, SLOVAKIA	SK
lesná, prešov	SK
MIERU HALIČ, SLOVAKIA	SK
97696 Medzibrod	SK
príbovce príbovce	SK
obchodná piešťany	SK
Arm.Gen.Ludvíka Svobodu 20 90101, Malacky, Slovakia	SK
DLŽÍN DLŽÍN, SLOVAKIA	SK
KOŠICKÁ, BRATISLAVA-RUŽINOV	SK
porostov 13 porostov slovakia	SK
viničné	SK
VEĽKÉ CHLIEVANY, VEĽKÉ CHLIEVANY	SK
OLŠOVANY 62 OLŠOVANY	SK
Šťuková, Žilina	SK
ŠIROKÉ, ŠIROKÉ	SK
VYDRANY, VYDRANY	SK
Želiezovce	SK
Prešov	SK
hrdinov snp 32 03601, martin	SK
91101 trenčín, slovensko	SK
Veľký Biel, Slovensko	SK
94901 NITRA	SK
podolie 795 91622, podolie	SK
MODRA SLOVENSKO	SK
Jánošikova - Klenovec	SK
štvrť snp 35 galanta slovakia	SK
M. LECZU - KRÁĽOVSKÝ CHLMEC	SK
99001 malé straciny slovakia	SK
Rožňava	SK
97229 ČAVOJ SLOVENSKO	SK
09402 Kvakovce	SK
vígľašská, topoľčianky	SK
TURČIANSKE JASENO 120 03802, TURČIANSKE JASENO	SK
kúpeľná brusno	SK
RAKOVO, RAKOVO	SK
ČERVENEJ ARMÁDY, VEĽKÝ BLH	SK
Kamenín Kamenín	SK
KRÁSNOHORSKÁ DLHÁ LÚKA SLOVAKIA	SK
Jasov	SK
Potvorice	SK
OCHODNICA OCHODNICA	SK
04473 BUZICA SLOVAKIA	SK
Dvorníky 378 92056, Dvorníky	SK
JAZERNÁ GALANTA, SLOVAKIA	SK
nitra, slovakia	SK
Krivany, Slovakia	SK
97401, BANSKÁ BYSTRICA	SK
Ľubovníková 26 Bratislava-Devínska Nová Ves Slovensko	SK
98055 KLENOVEC, SLOVENSKO	SK
Pod Kamennou Baňou, Prešov	SK
poruba pod vihorlatom 4 poruba pod vihorlatom	SK
rastlinná bratislava-jarovce	SK
07701, kráľovský chlmec	SK
ulica j. murgaša prievidza	SK
OKRUŽNÁ 58 08204, DRIENOV, SLOVENSKO	SK
Cejkov 336 07605, Cejkov, Slovakia	SK
lubeník	SK
Štrkovec	SK
VALASKÁ BELÁ VALASKÁ BELÁ	SK
Železničná Teplička Nad Váhom	SK
VAĎOVCE, VAĎOVCE	SK
NÁMESTIE KRÁĽA GEJZU I. 8 93556, MÝTNE LUDANY	SK
kvakovce, kvakovce	SK
JANOV, JANOV	SK
turčianske teplice, slovakia	SK
klátova nová ves klátova nová ves	SK
VALASKÁ BELÁ	SK
na sídlisku michaľany	SK
MALÉ TRAKANY 85 07642, MALÉ TRAKANY	SK
Šarišské Dravce Šarišské Dravce Slovakia	SK
ULICA JURAJA FÁNDLYHO TRNAVA SLOVAKIA	SK
Milpoš, Slovakia	SK
 ŠIRKOVCE, SLOVAKIA	SK
Lipová Marianka	SK
rimavská baňa, rimavská baňa	SK
športová - limbach	SK
99135 Dačov Lom	SK
Radatice, Slovakia	SK
POD KALVÁRIOU PREŠOV	SK
ožďany ožďany slovensko	SK
Brezová 10 Bytča	SK
zemné, zemné	SK
ŠÍD ŠÍD	SK
Veľké Blahovo, Veľké Blahovo	SK
1.Mája Sliač	SK
HVIEZDOSLAVOVA ŠURANY	SK
04445 Rankovce	SK
04411 Trstené Pri Hornáde Slovakia	SK
POD KOSTOLÍKOM - NITRA	SK
MICHALA MILOSLAVA HODŽU 1 96901, BANSKÁ ŠTIAVNICA	SK
Dolný Kubín Slovensko	SK
SUCHÉ MIESTO, CHORVÁTSKY GROB	SK
HLAVNÁ 57 BREHOV SLOVENSKO	SK
HUMENNÉ	SK
svätý jur	SK
poštová ulica trnava	SK
veľké borové	SK
KRPEC - VČELINCE	SK
Ľudovíta Fullu 4 84105, Bratislava-Karlova Ves, Slovakia	SK
BERNOLÁKOVÁ NÁMESTOVO	SK
Kolta, Kolta	SK
Trnavská Bernolákovo	SK
RADLINSKÉHO - DOLNÝ KUBÍN	SK
TEŠEDÍKOVO, TEŠEDÍKOVO	SK
TOPOĽČIANKY	SK
Tichá Nové Zámky	SK
Veľký Biel, Slovensko	SK
04964 Sirk	SK
Bratislava-Ružinov	SK
SNP TOPOĽČIANKY	SK
Veľký Lipník, Veľký Lipník	SK
95175, BELADICE	SK
03843, slovany	SK
TYRŠOVA - SOBRANCE	SK
CESTA NA KRÁĽOVEJ ZVOLEN	SK
08207, Lúčina	SK
MALÁ HRADNÁ 121 MALÁ HRADNÁ SLOVAKIA	SK
slavkovce - slavkovce	SK
POD MOLPÍROM SMOLENICE	SK
podhora 44 ružomberok	SK
M.R. Štefánika, Važec	SK
93101 šamorín slovakia	SK
malokýrska veľký kýr	SK
J. HANULU, RUŽOMBEROK	SK
Košická Belá - Košická Belá	SK
čamovce	SK
STOŽOK 162 96212, STOŽOK	SK
95654 RUSKOVCE	SK
Dolná, Stupava	SK
minerálna, bardejov	SK
oravský podzámok	SK
94505, komárno	SK
VRÚTKY	SK
Mariánske Námestie 27 01001, Žilina	SK
GEMER SLOVENSKO	SK
Kostoľany Nad Hornádom Kostoľany Nad Hornádom	SK
08273 Krásna Lúka Slovensko	SK
j. záborského veľký šariš	SK
Vyšný Klátov 65 04412, Vyšný Klátov	SK
Na Papánke 5 Teplička Nad Váhom	SK
Hviezdoslavova 107 08271, Lipany	SK
Podlavická Cesta 35 97409, Banská Bystrica	SK
CYPRICHOVA, BRATISLAVA-RAČA	SK
šarovce	SK
kráľová nad váhom - kráľová nad váhom	SK
82103 BRATISLAVA-RUŽINOV, SLOVAKIA	SK
TRENČÍN SLOVENSKO	SK
94110 tvrdošovce slovensko	SK
TRSTICE, TRSTICE	SK
Námestovo	SK
ulica hospodárska 62 trnava	SK
Poruba Pod Vihorlatom	SK
KLENOVEC	SK
radatice radatice	SK
viničné	SK
DOLNÉ OREŠANY	SK
prešov	SK
Brvnište, Brvnište	SK
Sekule Sekule, Slovensko	SK
CINTORÍNSKA, ŠAHY	SK
PUKANEC	SK
92508 čierny brod slovakia	SK
brezno	SK
Štós, Štós	SK
98053 lehota nad rimavicou	SK
trhovisko, kráľovský chlmec	SK
ostrov 146 ostrov	SK
SÁSA SÁSA SLOVAKIA	SK
davidov	SK
Semerovo 291 Semerovo	SK
hodruša-hámre hodruša-hámre slovakia	SK
kollárova vráble	SK
95654 RUSKOVCE, SLOVENSKO	SK
Hontianska Vinica	SK
MIŠÍKOVA BRATISLAVA-STARÉ MESTO	SK
